T,RH
13.6,48.9
13.3,47.7
11.9,54.0
11.0,60.0
11.2,59.6
11.2,59.2
11.3,56.8
10.7,60.0
10.7,59.7
10.3,60.2
10.1,60.5
11.0,56.2
10.5,58.1
10.2,59.6
10.8,57.4
10.5,60.6
10.8,58.4
10.5,57.9
9.5,66.8
8.3,76.4
8.0,81.1
8.3,79.8
9.7,71.2
9.8,67.6
10.3,64.2
9.7,69.3
9.6,67.8
9.1,64.0
8.2,63.4
8.2,60.8
8.3,58.5
7.7,59.7
7.1,61.8
7.0,62.3
6.1,65.9
6.3,65.0
6.8,62.9
6.4,65.1
7.3,63.1
9.2,56.2
13.2,41.7
14.3,38.4
15.0,36.5
16.1,34.5
16.3,35.7
15.8,37.0
15.9,37.2
16.9,34.3
15.1,39.6
14.4,43.4
12.9,50.5
12.1,53.3
11.0,59.1
9.7,64.6
9.5,64.1
9.1,63.9
8.8,63.9
7.8,67.5
7.0,71.1
8.3,63.6
7.2,67.5
6.3,71.9
6.5,71.6
9.6,59.7
12.4,51.2
15.6,42.2
18.4,33.8
19.4,31.3
18.0,34.8
18.4,33.6
17.6,35.1
16.7,37.8
16.1,41.0
15.8,42.4
15.7,44.1
15.3,46.8
14.6,48.6
14.7,49.3
13.9,53.6
14.6,51.5
12.5,58.9
11.6,63.4
12.1,61.1
11.5,63.1
11.6,62.2
10.4,67.6
11.6,62.7
12.4,60.0
14.5,53.1
16.9,46.1
19.3,38.3
21.2,31.4
21.4,30.2
21.9,29.0
22.2,28.4
21.3,30.8
19.7,36.7
18.4,41.7
17.6,46.1
16.7,49.6
16.3,51.0
14.7,55.9
14.8,54.7
14.0,57.0
13.4,61.3
12.6,63.5
12.3,65.4
11.9,67.4
11.4,70.5
11.3,70.2
12.4,63.9
14.8,54.3
17.4,45.6
19.8,38.5
22.0,34.1
23.3,32.2
23.9,30.0
24.4,28.9
24.4,29.4
23.8,31.3
22.5,35.4
20.4,42.5
18.3,52.6
16.7,57.4
15.7,60.2
15.3,61.4
14.1,65.7
14.8,60.6
14.8,59.2
13.6,62.1
12.3,66.2
12.8,63.2
11.2,68.5
11.0,66.5
11.7,63.7
13.6,56.3
17.8,42.9
21.4,33.3
24.4,27.4
25.3,26.1
25.8,23.2
27.0,20.2
28.2,18.6
28.0,19.1
23.9,25.7
21.3,34.8
20.4,36.7
19.0,41.3
17.9,45.9
16.7,48.9
15.5,52.9
